type:,Year,transmission:,odometer:,Model,VIN:,fuel:,drive:,Price,title status:,cylinders:,paint color:,condition:
minivan,2011,automatic,80000," honda odyssey touring elite
",,gas,rwd,11500,clean,6 cylinders,white,excellent
,1997,other,95000," mercury villager van
",,gas,,2800,clean,,,good
truck,2007,automatic,180000," chevrolet silverado
",,gas,rwd,10950,clean,8 cylinders,,excellent
,2014,automatic,150000," toyota camry
",,gas,,9500,clean,,,good
sedan,2011,automatic,128532," lincoln mks
",MKS3542766988MRDW,gas,4wd,4500,clean,6 cylinders,brown,excellent
convertible,2007,manual,110012," mazda miata
",JM1NC25F270125291,gas,rwd,12000,clean,4 cylinders,red,excellent
sedan,2016,automatic,149516," chevrolet malibu lt
",,gas,,4950,clean,4 cylinders,,excellent
sedan,2013,automatic,150000," madza 3
",,gas,,4500,clean,4 cylinders,,excellent
truck,1994,automatic,250," ford ranger
",,gas,rwd,5000,clean,8 cylinders,custom,good
pickup,1966,manual,33168," chevy el camino
",,gas,rwd,13500,clean,8 cylinders,silver,good
pickup,2016,automatic,89999," Ford F-150 Sport
",,gas,rwd,15000,clean,8 cylinders,black,excellent
convertible,1966,automatic,100000," ford mustang convertible
",,gas,,3800,clean,,,
pickup,1985,automatic,125," chevy silverado
",,gas,rwd,35000,clean,8 cylinders,blue,excellent
SUV,2011,automatic,160000," Buick Enclave CXL
",,gas,fwd,4000,clean,6 cylinders,white,fair
sedan,2013,automatic,99793," mercedes benz c300 4matic
",,gas,4wd,8600,clean,,,like new
wagon,1988,automatic,88000," oldsmobile custom cruiser wagon
",,gas,rwd,22000,clean,8 cylinders,blue,excellent
pickup,2008,automatic,300000," toyota tundra
",,gas,4wd,7500,clean,8 cylinders,grey,excellent
sedan,2013,automatic,34010," Ford Fusion SE
",3FA6P0HR2DR206506,gas,fwd,8000,clean,4 cylinders,silver,excellent
,2013,automatic,116000," bmw 528i
",,gas,4wd,9800,clean,6 cylinders,white,like new
coupe,2022,automatic,26231," ford mustang gt premium
",,gas,rwd,41300,clean,8 cylinders,white,like new
minivan,2015,automatic,141621," Toyota Sienna
",,gas,,27000,clean,,white,
truck,2018,automatic,148000," ford f-150
",,gas,4wd,12500,clean,8 cylinders,grey,
SUV,2006,automatic,317000," toyota sequoia limited
",,gas,,6995,clean,8 cylinders,,excellent
sedan,2008,automatic,200000," Lexus es350
",,gas,,2600,clean,,,
sedan,2015,automatic,98000," nissan sentra
",,gas,fwd,9999,clean,4 cylinders,black,excellent
sedan,2016,automatic,163000," Dodge Dart SE
",,gas,fwd,4550,clean,4 cylinders,silver,good
sedan,2020,automatic,62726," Hyundai Sonata SEL Plus
",,gas,fwd,18000,clean,4 cylinders,red,excellent
SUV,2009,automatic,152890," jeep liberty sport
",,gas,rwd,2900,clean,6 cylinders,grey,good
sedan,2019,automatic,60561," Honda Civic LX
",2HGFC2F68KH596838,gas,,10995,rebuilt,4 cylinders,,
SUV,2017,automatic,62128," mitsubishi outlander sport
",,gas,,8995,clean,4 cylinders,grey,excellent
SUV,2016,automatic,153000," jeep wrangler
",,gas,4wd,17000,clean,6 cylinders,white,good
pickup,2002,manual,70000," Dodge Ram 2500
",,diesel,4wd,15990,clean,6 cylinders,,
sedan,2005,automatic,177500," Toyota Avalon XLS
",,gas,fwd,4000,clean,6 cylinders,green,good
coupe,2011,automatic,125390," audi a5 2.0t premium plus
",,gas,4wd,6900,clean,4 cylinders,,excellent
truck,2016,automatic,235000," ford f-250
",,diesel,4wd,20000,clean,8 cylinders,silver,excellent
,2014,automatic,118000," ford taurus
",,gas,,6500,clean,,,
SUV,2013,automatic,1," ford edge
",,gas,fwd,4500,clean,6 cylinders,black,excellent
sedan,2010,automatic,118000," dodge charger
",,gas,,4500,clean,,,
pickup,2006,manual,256000," dodge ram 2500 diesel
",,diesel,rwd,10500,clean,6 cylinders,white,fair
minivan,2012,automatic,111000," toyota sienna
",,gas,fwd,12900,clean,6 cylinders,silver,like new
SUV,2003,automatic,142000," Toyota Highlander STD
",JTEGF21A030097149,gas,fwd,5000,clean,6 cylinders,black,excellent
SUV,2008,automatic,254000," ford expedition
",,gas,rwd,4800,clean,8 cylinders,silver,good
pickup,2000,automatic,137000," Toyota Tacoma
",,gas,rwd,16000,clean,6 cylinders,silver,
,2009,automatic,144449," volkswagen rabbit
",,gas,fwd,4500,clean,5 cylinders,,excellent
sedan,2010,automatic,94200," toyota camry
",,gas,,9000,clean,,grey,excellent
sedan,2020,automatic,46685," Kia Rio
",3KPA24AD1LE335402,gas,fwd,11000,clean,4 cylinders,black,excellent
truck,2007,automatic,181000," dodge ram 2500
",,diesel,4wd,22800,clean,6 cylinders,black,excellent
sedan,2007,automatic,138000," infiniti g35 sedan
",,gas,rwd,4500,clean,6 cylinders,grey,good
pickup,2019,automatic,71550," Ram 1500 Classic DS
",1C6RR6FG7KS524295,gas,rwd,16500,clean,6 cylinders,red,excellent
SUV,2020,automatic,42023," Kia Soul
",KNDJ23AU5L7038840,gas,fwd,13000,clean,4 cylinders,white,excellent
sedan,2013,automatic,71088," Hyundai Elantra
",KMHDH4AE0DU928686,gas,fwd,7300,clean,4 cylinders,silver,excellent
pickup,2001,manual,43000," nissan frontier
",,gas,,10000,clean,4 cylinders,,excellent
